 time,CH1 ,CH2 ,CH3 ,CH4 ,CH5 ,CH6 ,CH7 ,CH8 ,CNT ,Freq  ,Latency ,Urevent  
 24-11-06 22:37:12.573,-458739,-814433,-893357,-569524,-713551,-628584,-659988,-741415,9595,0,9582,4
 24-11-06 22:37:12.574,-458526,-814357,-893363,-569459,-713354,-628377,-659969,-741300,9596,0,9582,4
 24-11-06 22:37:12.576,-458395,-814286,-893381,-569474,-713422,-628337,-659956,-741222,9597,0,9582,4
 24-11-06 22:37:12.576,-458392,-814391,-893516,-569722,-713756,-628474,-660259,-741482,9598,0,9582,4
 24-11-06 22:37:12.577,-458312,-814630,-893715,-569949,-714027,-628642,-660761,-741768,9599,0,9582,4
 24-11-06 22:37:12.578,-458449,-814887,-893956,-570141,-714263,-628817,-661311,-742089,9600,0,9582,4
 24-11-06 22:37:12.580,-458442,-815022,-894161,-570357,-714298,-628911,-661769,-742364,9601,0,9582,4
 24-11-06 22:37:12.581,-458548,-815324,-894491,-570694,-714565,-629068,-662241,-742741,9602,0,9582,4
 24-11-06 22:37:12.582,-458485,-815547,-894688,-570886,-714655,-629012,-662404,-742946,9603,0,9582,4
 24-11-06 22:37:12.583,-458472,-815787,-894929,-571075,-714877,-628987,-662856,-743117,9604,0,9582,4
 24-11-06 22:37:12.589,-458436,-815942,-895046,-571088,-714824,-628909,-662939,-743175,9605,0,9582,4
 24-11-06 22:37:12.589,-458285,-815806,-894891,-570902,-714444,-628635,-662359,-743046,9606,0,9582,4
 24-11-06 22:37:12.589,-458073,-815575,-894626,-570696,-714062,-628338,-661778,-742742,9607,0,9582,4
 24-11-06 22:37:12.589,-457724,-815677,-894629,-570646,-714027,-628077,-662069,-742310,9608,0,9582,4
 24-11-06 22:37:12.589,-457749,-815991,-894922,-570744,-714543,-628488,-662927,-742163,9609,0,9582,4
 24-11-06 22:37:12.589,-457956,-815777,-894780,-570556,-714466,-628688,-662433,-742120,9610,0,9582,4
 24-11-06 22:37:12.590,-458022,-815319,-894336,-570082,-713920,-628287,-661474,-741962,9611,0,9582,4
 24-11-06 22:37:12.591,-458241,-815114,-894142,-569803,-713849,-628442,-661070,-741805,9612,0,9582,4
 24-11-06 22:37:12.592,-458434,-815026,-894048,-569772,-713826,-628657,-660791,-741731,9613,0,9582,4
 24-11-06 22:37:12.593,-458281,-814611,-893634,-569459,-713469,-628361,-660037,-741404,9614,0,9582,4
 24-11-06 22:37:12.594,-458189,-814632,-893622,-569396,-713537,-628247,-660090,-741287,9615,0,9582,4
 24-11-06 22:37:12.595,-458264,-814888,-893799,-569442,-713649,-628312,-660476,-741317,9616,0,9582,4
 24-11-06 22:37:12.596,-458154,-815304,-894074,-569554,-713772,-628769,-660933,-741075,9617,0,9582,4
 24-11-06 22:37:12.597,-457731,-815727,-894439,-569866,-714606,-629309,-661511,-740701,9618,0,9582,4
 24-11-06 22:37:12.598,-457846,-815497,-894451,-569969,-714625,-628996,-661602,-741154,9619,0,9582,4
 24-11-06 22:37:12.599,-458432,-815199,-894432,-569956,-713934,-628282,-661717,-742145,9620,0,9582,4
 24-11-06 22:37:12.600,-458594,-815401,-894729,-570231,-713782,-628081,-662231,-742704,9621,0,9582,4
 24-11-06 22:37:12.601,-458648,-815683,-895082,-570624,-714111,-628416,-662659,-742949,9622,0,9582,4
 24-11-06 22:37:12.602,-458716,-815872,-895260,-570957,-714639,-628747,-663046,-743119,9623,0,9582,4
 24-11-06 22:37:12.604,-458681,-816066,-895532,-571182,-714939,-629102,-663469,-743280,9624,0,9582,4
 24-11-06 22:37:12.604,-458576,-816286,-895725,-571216,-714981,-629320,-663625,-743305,9625,0,9582,4
 24-11-06 22:37:12.605,-458455,-816071,-895727,-571125,-714822,-629362,-663237,-743343,9626,0,9582,4
 24-11-06 22:37:12.606,-458426,-815472,-895269,-570881,-714400,-629153,-662329,-743201,9627,0,9582,4
 24-11-06 22:37:12.607,-458418,-815091,-894745,-570584,-714074,-628932,-661535,-742947,9628,0,9582,4
 24-11-06 22:37:12.609,-458205,-815139,-894574,-570395,-714019,-628669,-661434,-742658,9629,0,9582,4
 24-11-06 22:37:12.609,-458349,-815496,-894796,-570537,-714446,-628967,-662117,-742627,9630,0,9582,4
 24-11-06 22:37:12.610,-458458,-815464,-894606,-570303,-714266,-629026,-661887,-742447,9631,0,9582,4
 24-11-06 22:37:12.611,-458228,-815079,-894178,-569914,-713853,-628681,-661086,-742013,9632,0,9582,4
 24-11-06 22:37:12.612,-457986,-814891,-893893,-569658,-713366,-627954,-660814,-741591,9633,0,9582,4
 24-11-06 22:37:12.613,-457831,-814858,-893697,-569461,-713122,-627609,-660709,-741293,9634,0,9582,4
 24-11-06 22:37:12.614,-458102,-815024,-893791,-569549,-713381,-628166,-660696,-741445,9635,0,9582,4
 24-11-06 22:37:12.617,-458392,-815121,-893970,-569701,-713653,-628667,-660696,-741628,9636,0,9582,4
 24-11-06 22:37:12.617,-458411,-815070,-893940,-569802,-713677,-628775,-660622,-741785,9637,0,9582,4
 24-11-06 22:37:12.617,-458190,-814966,-893914,-569821,-713491,-628469,-660542,-741852,9638,0,9582,4
 24-11-06 22:37:12.617,-457952,-814912,-893981,-569871,-713297,-628099,-660622,-741773,9639,0,9582,4
 24-11-06 22:37:12.619,-457962,-815098,-894299,-570131,-713687,-628365,-661280,-742007,9640,0,9582,4
 24-11-06 22:37:12.619,-458220,-815391,-894848,-570508,-714394,-628869,-662237,-742494,9641,0,9582,4
 24-11-06 22:37:12.620,-458337,-815506,-895113,-570764,-714639,-628866,-662442,-742916,9642,0,9582,4
 24-11-06 22:37:12.621,-458402,-815891,-895325,-570943,-714871,-628939,-662899,-743176,9643,0,9582,4
 24-11-06 22:37:12.622,-458360,-816433,-895762,-571253,-715174,-629091,-663816,-743427,9644,0,9582,4
 24-11-06 22:37:12.624,-458266,-815927,-895580,-571174,-714847,-628851,-663489,-743338,9645,0,9582,4
 24-11-06 22:37:12.624,-458234,-815873,-895486,-571078,-714645,-628661,-663306,-743267,9646,0,9582,4
 24-11-06 22:37:12.625,-458156,-815917,-895403,-570969,-714493,-628591,-663121,-743151,9647,0,9582,4
 24-11-06 22:37:12.627,-457909,-815369,-894987,-570636,-713943,-628219,-662246,-742767,9648,0,9582,4
 24-11-06 22:37:12.627,-457859,-814892,-894539,-570290,-713600,-628114,-661617,-742489,9649,0,9582,4
 24-11-06 22:37:12.628,-458242,-814849,-894364,-570157,-713836,-628586,-661477,-742447,9650,0,9582,4
 24-11-06 22:37:12.629,-458355,-814867,-894191,-569976,-713824,-628606,-661341,-742207,9651,0,9582,4
 24-11-06 22:37:12.630,-458235,-814707,-893771,-569653,-713534,-628382,-660817,-741789,9652,0,9582,4
 24-11-06 22:37:12.632,-458136,-814778,-893785,-569592,-713640,-628334,-661045,-741659,9653,0,9582,4
 24-11-06 22:37:12.632,-458074,-814601,-893561,-569446,-713364,-628127,-660777,-741489,9654,0,9582,4
 24-11-06 22:37:12.633,-457985,-814230,-893204,-569157,-712844,-627651,-660062,-741261,9655,0,9582,4
 24-11-06 22:37:12.636,-457987,-813804,-892891,-568911,-712458,-627461,-659336,-741068,9656,0,9582,4
 24-11-06 22:37:12.636,-458102,-813762,-892852,-568944,-712457,-627482,-659281,-741156,9657,0,9582,4
 24-11-06 22:37:12.637,-458011,-814032,-893133,-569163,-712721,-627379,-659953,-741292,9658,0,9582,4
 24-11-06 22:37:12.637,-457989,-814347,-893571,-569502,-713274,-627760,-660762,-741561,9659,0,9582,4
 24-11-06 22:37:12.638,-458148,-814361,-893761,-569726,-713621,-628227,-660987,-741836,9660,0,9582,4
 24-11-06 22:37:12.640,-458236,-814454,-894028,-569974,-713884,-628553,-661367,-742162,9661,0,9582,4
 24-11-06 22:37:12.640,-458384,-814723,-894371,-570381,-714164,-628931,-661839,-742554,9662,0,9582,4
 24-11-06 22:37:12.647,-458378,-815114,-894742,-570569,-714350,-628810,-662503,-742617,9663,0,9582,4
 24-11-06 22:37:12.647,-458432,-815520,-895202,-570863,-714736,-628868,-663394,-742887,9664,0,9582,4
 24-11-06 22:37:12.647,-458276,-815644,-895294,-570883,-714616,-628589,-663451,-742957,9665,0,9582,4
 24-11-06 22:37:12.647,-458194,-815533,-895215,-570783,-714416,-628471,-663121,-742857,9666,0,9582,4
 24-11-06 22:37:12.647,-458303,-815330,-895030,-570707,-714337,-628614,-662786,-742735,9667,0,9582,4
 24-11-06 22:37:12.647,-458124,-815064,-894729,-570417,-713976,-628188,-662331,-742424,9668,0,9582,4
 24-11-06 22:37:12.648,-458144,-814806,-894429,-570221,-713756,-628021,-661976,-742232,9669,0,9582,4
 24-11-06 22:37:12.648,-458387,-814550,-894129,-570114,-713624,-628222,-661436,-742181,9670,0,9582,4
 24-11-06 22:37:12.649,-458515,-814444,-893916,-569967,-713621,-628549,-660984,-742141,9671,0,9582,4
 24-11-06 22:37:12.651,-458236,-814389,-893648,-569593,-713252,-628181,-660501,-741742,9672,0,9582,4
 24-11-06 22:37:12.651,-457902,-814314,-893451,-569277,-713017,-627821,-660184,-741254,9673,0,9582,4
 24-11-06 22:37:12.652,-457832,-814313,-893304,-569046,-712861,-627654,-659906,-740947,9674,0,9582,4
 24-11-06 22:37:12.654,-457793,-814386,-893239,-568938,-712756,-627555,-659962,-740940,9675,0,9582,4
 24-11-06 22:37:12.654,-457617,-814331,-893140,-568801,-712474,-627190,-659795,-740789,9676,0,9582,4
 24-11-06 22:37:12.656,-457454,-814302,-893139,-568752,-712309,-626827,-659873,-740702,9677,0,9582,4
 24-11-06 22:37:12.656,-457336,-814257,-893218,-568877,-712220,-626784,-659929,-740804,9678,0,9582,4
 24-11-06 22:37:12.657,-457554,-814376,-893426,-569181,-712626,-627322,-660159,-741078,9679,0,9582,4
 24-11-06 22:37:12.659,-457752,-814547,-893654,-569462,-712983,-627668,-660624,-741341,9680,0,9582,4
 24-11-06 22:37:12.659,-457741,-814531,-893776,-569629,-712953,-627699,-660802,-741558,9681,0,9582,4
 24-11-06 22:37:12.660,-457742,-814694,-894059,-569922,-713196,-627972,-661277,-741919,9682,0,9582,4
 24-11-06 22:37:12.661,-457650,-814879,-894383,-570095,-713577,-628103,-661801,-742116,9683,0,9582,4
 24-11-06 22:37:12.662,-457856,-815163,-894761,-570498,-714224,-628541,-662339,-742544,9684,0,9582,4
 24-11-06 22:37:12.664,-458170,-815107,-894849,-570697,-714560,-629067,-662051,-742836,9685,0,9582,4
 24-11-06 22:37:12.664,-458049,-814909,-894711,-570644,-714323,-628797,-661631,-742706,9686,0,9582,4
 24-11-06 22:37:12.665,-457859,-814846,-894656,-570489,-713997,-628532,-661332,-742559,9687,0,9582,4
 24-11-06 22:37:12.667,-457719,-814686,-894403,-570215,-713603,-628376,-660829,-742234,9688,0,9582,4
 24-11-06 22:37:12.667,-457152,-814647,-894220,-569935,-713664,-628671,-660579,-741320,9689,0,9582,4
 24-11-06 22:37:12.668,-456525,-814929,-894448,-569929,-714257,-628624,-661319,-740688,9690,0,9582,4
 24-11-06 22:37:12.669,-457117,-814921,-894233,-569669,-713489,-627827,-661178,-741095,9691,0,9582,4
 24-11-06 22:37:12.670,-458128,-814716,-893671,-569265,-712425,-627384,-660162,-741724,9692,0,9582,4
 24-11-06 22:37:12.672,-458251,-814805,-893433,-569048,-712042,-627232,-659811,-741698,9693,0,9582,4
 24-11-06 22:37:12.672,-458175,-814544,-893327,-568949,-712267,-627567,-659932,-741301,9694,0,9582,4
 24-11-06 22:37:12.681,-458152,-814216,-893235,-569011,-712684,-627876,-660089,-741191,9695,0,9582,4
 24-11-06 22:37:12.681,-458339,-814034,-893201,-569036,-713057,-627860,-660086,-741329,9696,0,9582,4
 24-11-06 22:37:12.682,-458341,-814172,-893377,-569145,-713239,-627836,-660294,-741404,9697,0,9582,4
 24-11-06 22:37:12.682,-458082,-814416,-893587,-569406,-713249,-627787,-660805,-741381,9698,0,9582,4
 24-11-06 22:37:12.682,-457869,-814534,-893683,-569582,-713176,-627723,-660979,-741475,9699,0,9582,4
 24-11-06 22:37:12.682,-457909,-814697,-893923,-569747,-713314,-627921,-661214,-741716,9700,0,9582,4
 24-11-06 22:37:12.682,-457986,-814905,-894129,-569997,-713589,-628002,-661537,-742059,9701,0,9582,4
 24-11-06 22:37:12.682,-458072,-815158,-894454,-570404,-714003,-628260,-662019,-742453,9702,0,9582,4
 24-11-06 22:37:12.682,-458166,-815249,-894654,-570657,-714299,-628564,-662432,-742719,9703,0,9582,4
 24-11-06 22:37:12.683,-458069,-815316,-894856,-570799,-714254,-628625,-662712,-742851,9704,0,9582,4
 24-11-06 22:37:12.684,-457734,-815346,-894972,-570799,-714026,-628375,-662685,-742832,9705,0,9582,4
 24-11-06 22:37:12.684,-457469,-815424,-895118,-570774,-714107,-628301,-662698,-742678,9706,0,9582,4
 24-11-06 22:37:12.686,-457456,-815511,-895151,-570684,-714285,-628518,-662790,-742451,9707,0,9582,4
 24-11-06 22:37:12.687,-457757,-815369,-894889,-570454,-713942,-628171,-662375,-742299,9708,0,9582,4
 24-11-06 22:37:12.688,-457899,-814952,-894403,-570072,-713365,-627634,-661527,-742175,9709,0,9582,4
 24-11-06 22:37:12.689,-458345,-814687,-894116,-570019,-713536,-628293,-661122,-742262,9710,0,9582,4
 24-11-06 22:37:12.689,-458302,-814557,-893909,-569834,-713312,-628238,-660686,-741996,9711,0,9582,4
 24-11-06 22:37:12.691,-457924,-814384,-893581,-569347,-712893,-627820,-660193,-741437,9712,0,9582,4
 24-11-06 22:37:12.691,-457546,-814246,-893408,-569117,-712688,-627709,-659719,-741104,9713,0,9582,4
 24-11-06 22:37:12.692,-457749,-814056,-893146,-568911,-712594,-627908,-659334,-740832,9714,0,9582,4
 24-11-06 22:37:12.694,-458180,-814197,-893171,-568924,-712874,-628322,-659564,-740922,9715,0,9582,4
 24-11-06 22:37:12.695,-458110,-814572,-893433,-569062,-713021,-628025,-660021,-740942,9716,0,9582,4
 24-11-06 22:37:12.696,-458176,-814587,-893522,-569168,-712914,-627812,-659979,-740995,9717,0,9582,4
 24-11-06 22:37:12.697,-458083,-814358,-893456,-569195,-712758,-627746,-659831,-741094,9718,0,9582,4
 24-11-06 22:37:12.698,-457889,-814446,-893587,-569369,-712775,-627784,-659972,-741236,9719,0,9582,4
 24-11-06 22:37:12.699,-457725,-814682,-893827,-569630,-712998,-627855,-660470,-741456,9720,0,9582,4
 24-11-06 22:37:12.699,-457801,-814906,-894236,-569973,-713302,-627997,-661059,-741793,9721,0,9582,4
 24-11-06 22:37:12.700,-457703,-815092,-894557,-570317,-713261,-627824,-661434,-742011,9722,0,9582,4
 24-11-06 22:37:12.702,-457575,-815099,-894664,-570438,-713114,-627519,-661617,-742067,9723,0,9582,4
 24-11-06 22:37:12.702,-457684,-815246,-894852,-570664,-713369,-627660,-661983,-742305,9724,0,9582,4
 24-11-06 22:37:12.708,-457891,-815367,-894934,-570872,-713777,-628005,-662268,-742568,9725,0,9582,4
 24-11-06 22:37:12.708,-458172,-815747,-895267,-571148,-714469,-628557,-662912,-742882,9726,0,9582,4
 24-11-06 22:37:12.708,-458249,-815994,-895507,-571204,-714620,-628604,-663086,-742917,9727,0,9582,4
 24-11-06 22:37:12.708,-458222,-816071,-895496,-571044,-714367,-628496,-662841,-742719,9728,0,9582,4
 24-11-06 22:37:12.708,-458247,-815994,-895286,-570914,-714206,-628511,-662514,-742541,9729,0,9582,4
 24-11-06 22:37:12.709,-458297,-815681,-895062,-570782,-714137,-628622,-662140,-742361,9730,0,9582,4
 24-11-06 22:37:12.710,-458030,-815379,-894772,-570432,-713670,-628122,-661502,-741958,9731,0,9582,4
 24-11-06 22:37:12.710,-458054,-815121,-894327,-570111,-713440,-628046,-660967,-741600,9732,0,9582,4
 24-11-06 22:37:12.712,-458676,-815122,-894282,-570246,-714067,-628997,-661130,-741816,9733,0,9582,4
 24-11-06 22:37:12.712,-458884,-814981,-894059,-570079,-714042,-629254,-660823,-741738,9734,0,9582,4
 24-11-06 22:37:12.713,-458784,-814841,-893830,-569860,-713690,-628917,-660457,-741576,9735,0,9582,4
 24-11-06 22:37:12.715,-458574,-814878,-893757,-569733,-713433,-628612,-660236,-741392,9736,0,9582,4
 24-11-06 22:37:12.715,-458429,-815062,-893906,-569797,-713566,-628582,-660451,-741459,9737,0,9582,4
 24-11-06 22:37:12.716,-458492,-815232,-894127,-570059,-713791,-628734,-660831,-741722,9738,0,9582,4
 24-11-06 22:37:12.717,-458404,-815190,-894177,-570117,-713634,-628607,-660900,-741844,9739,0,9582,4
 24-11-06 22:37:12.718,-458355,-815182,-894204,-570186,-713616,-628516,-661007,-741966,9740,0,9582,4
 24-11-06 22:37:12.720,-458367,-815309,-894411,-570453,-713869,-628659,-661390,-742222,9741,0,9582,4
 24-11-06 22:37:12.720,-458349,-815492,-894812,-570841,-714318,-628913,-662100,-742519,9742,0,9582,4
 24-11-06 22:37:12.721,-458104,-815638,-894967,-571034,-714392,-628749,-662524,-742639,9743,0,9582,4
 24-11-06 22:37:12.722,-457938,-815784,-895076,-571068,-714262,-628496,-662717,-742752,9744,0,9582,4
 24-11-06 22:37:12.723,-458151,-815775,-895090,-570979,-714154,-628467,-662694,-742906,9745,0,9582,4
 24-11-06 22:37:12.724,-458262,-815744,-895146,-570956,-714046,-628474,-662652,-743031,9746,0,9582,4
 24-11-06 22:37:12.725,-458314,-815577,-895090,-570859,-714024,-628488,-662409,-743038,9747,0,9582,4
 24-11-06 22:37:12.726,-458689,-815389,-895037,-570872,-714378,-629143,-662264,-743112,9748,0,9582,4
 24-11-06 22:37:12.728,-458649,-815141,-894746,-570727,-714143,-628987,-661856,-742821,9749,0,9582,4
 24-11-06 22:37:12.728,-458412,-814997,-894491,-570496,-713926,-628620,-661516,-742541,9750,0,9582,4
 24-11-06 22:37:12.729,-458200,-814789,-894155,-570146,-713699,-628362,-661076,-742235,9751,0,9582,4
 24-11-06 22:37:12.733,-458109,-814571,-893796,-569786,-713402,-628239,-660539,-741898,9752,0,9582,4
 24-11-06 22:37:12.739,-458314,-814638,-893733,-569753,-713592,-628579,-660554,-741812,9753,0,9582,4
 24-11-06 22:37:12.739,-458402,-814685,-893601,-569636,-713479,-628614,-660298,-741624,9754,0,9582,4
 24-11-06 22:37:12.739,-458277,-814988,-893607,-569491,-713250,-628380,-660154,-741493,9755,0,9582,4
 24-11-06 22:37:12.740,-458213,-815042,-893679,-569496,-713354,-628344,-660204,-741432,9756,0,9582,4
 24-11-06 22:37:12.740,-458245,-814716,-893647,-569571,-713372,-628419,-660104,-741418,9757,0,9582,4
 24-11-06 22:37:12.740,-458242,-814732,-893736,-569741,-713422,-628408,-660251,-741534,9758,0,9582,4
